"X.Plant_ID","Scientific_Name","Common_Name","Family","Genus","Species","Infraspecies","Native","CoC","Endemic","Persisting","Status_State","nwpl_ncne","State_Rank","Global_Rank","Habitat","Growth_Habit","Duration"
181,"Achillea millefolium","common yarrow","Asteraceae","Achillea","millefolium","","Y",0,"N","Y","","FACU","SNR","G5T5?","Fields, waste places, disturbed areas, and rocky open areas.","Forb/herb","Perennial"
138,"Acorus americanus","American sweetflag","Acoraceae","Acorus","americanus","","Y",5,"N","Y","","OBL","S5","G5","","Forb/herb","Perennial"
2575,"Actaea pachypoda","white baneberry, doll’s eyes","Ranunculaceae","Actaea","pachypoda","","Y",7,"N","Y","","UPL","S5","G5","Rich mesic forests. Often in slightly richer sites than Actaea rubra.","Forb/herb","Perennial"
2570,"Actaea pachypoda × A. rubra = A. ×ludovici","Louis’s baneberry","Ranunculaceae","Actaea","pachypoda × A. rubra = A. ×ludovici","","Y",NA,"N","Y","","","SNA","GNA","","Forb/herb","Perennial"
2555,"Actaea racemosa","black cohosh, black snakeroot, bugbane","Ranunculaceae","Actaea","racemosa","","Y",7,"N","Y","","FACU","S4","G4","Mesic to dry-mesic hardwood forests and forest edges, vegetated roadsides and paths often in calcareous soils.","Forb/herb","Perennial"
2563,"Actaea rubra","red baneberry","Ranunculaceae","Actaea","rubra","","Y",7,"N","Y","","FACU","S5","G5T5","Mesic to dry-mesic forests. Often in at least slightly rich soils.","Herbaceous","Perennial"
2546,"Adiantum pedatum","maidenhair fern","Pteridaceae","Adiantum","pedatum","","Y",8,"N","Y","","FACU","S4","G5","Rich mesic hardwoods forests often on lower slopes and valley bottoms in deep calcareous soils.","Fern","Perennial"
1530,"Adlumia fungosa","Allegheny vine","Papaveraceae","Adlumia","fungosa","","Y",9,"N","Y","","UPL","S4","G4","Climbing on adjacent vegetation on talus slopes, cliffs, ledges, rocky forests and woodlands often over but not restricted to calcareous bedrock. Appears to respond well to fire and openings in the canopy. Usually some what sparse at a site but occasionally quite abundant and climbing into the canopy.","Vine, Forb/herb","Biennial"
2925,"Agalinis paupercula","small-flowered agalinis","Orobanchaceae","Agalinis","paupercula","","Y",7,"N","Y","","OBL","S3","G5T5","","Forb/herb","Annual"
2953,"Agalinis tenuifolia","slender agalinis","Orobanchaceae","Agalinis","tenuifolia","","Y",4,"N","Y","","FACW","S5","G5","Forest edges, thin canopied forests, woodlands, roadsides, and disturbed soils often in dry coarse grained soils.","Forb/herb","Annual"
6915,"Agastache scrophulariifolia","purple giant hyssop, figwort giant hyssop","Lamiaceae","Agastache","scrophulariifolia","","Y",2,"N","Y","","FACW","S4","","","Herbaceous","Perennial"
516,"Ageratina altissima","common white snakeroot","Asteraceae","Ageratina","altissima","","Y",4,"N","Y","","FACU","S5","G5T5","A variety of mesic to slightly wetter forest types, shaded stream banks, shaded shale talus of ravines.  In the warmer parts of the state it is quite weedy and does particularly well in successional forests, floodplain forests, and disturbed forests.  In cooler parts of the state this species become more particular and prefers richer areas sometimes near but not in seeps.","Herbaceous","Perennial"
6492,"Agrimonia gryposepala","common agrimony","Rosaceae","Agrimonia","gryposepala","","Y",4,"N","Y","","FACU","S5","","Successional forests, floodplain forests, hardwood forests, forest edges, thickets, edges of dirt roads and paths through forests, stream banks, ditches, edges of marshes, and successional fields in mesic to wet-mesic soils. A plant of a wide variety of habitats but usually growing in relatively small populations.","Herbaceous","Perennial"
2801,"Agrimonia pubescens","downy agrimony","Rosaceae","Agrimonia","pubescens","","Y",8,"N","Y","","FACU","S4","G5","Dry-mesic to mesic oak-hickory forests and woodlands.","Forb/herb","Perennial"
2800,"Agrimonia striata","roadside agrimony","Rosaceae","Agrimonia","striata","","Y",4,"N","Y","","FACU","S5","G5","Pastures, successional fields, thickets, floodplain forests, successional and weedy forests, stream banks, and roadsides often in mesic to wet-mesic disturbed soils.","Forb/herb","Perennial"
2234,"Agrostis hyemalis","southern tickle grass","Poaceae","Agrostis","hyemalis","","Y",3,"N","Y","","FAC","S4S5","G5","","Graminoid","Perennial"
2120,"Agrostis perennans","autumn bent","Poaceae","Agrostis","perennans","","Y",4,"N","Y","","FACU","S5","G5","Mesic forests sometimes on edges of forested streams.","Graminoid","Perennial"
2301,"Agrostis scabra","northern tickle grass","Poaceae","Agrostis","scabra","","Y",3,"N","Y","","FAC","S5","","Floating logs and vegetation mats in ponds, edges of marshes on exposed soils, shale and fine talus slopes in woodlands or openings, and roadsides. Occurs in saturated to dry soils and appears to do best in open soils in full sun.","Graminoid","Perennial"
36,"Alisma subcordatum","southern water plantain","Alismataceae","Alisma","subcordatum","","Y",4,"N","Y","","OBL","S5","G5","This species along with A. triviale are very similar in terms of their habitat preferences and we have not detected a difference in habitat types.  Edges of streams, rivers, ponds, and marshes; and seasonally flooded ponds.   This species does quite well on seasonally exposed ""draw down"" zones on edges of marshes, ponds, and streams.","Forb/herb","Perennial"
37,"Alisma triviale","northern water plantain","Alismataceae","Alisma","triviale","","Y",4,"N","Y","","OBL","S5","G5","This species along with A. subcordatum are very similar in terms of their habitat preferences and we have not detected a difference in habitat types.  Edges of streams, rivers, ponds, and marshes; and seasonally flooded ponds.   This species does quite well on seasonally exposed ""draw down"" zones on edges of marshes, ponds, and streams.","Forb/herb","Perennial"
6688,"Allium canadense var. canadense","Canada onion","Amaryllidaceae","Allium","canadense","var. canadense","Y",4,"N","Y","","FACU","S5","","Floodplain forests, alluvial thickets, banks of streams, and rich low forests. Sometimes a little weedy. Mostly restricted to rich deep alluvial soils.","Herbaceous","Perennial"
1836,"Allium tricoccum","common wild leek","Amaryllidaceae","Allium","tricoccum","","Y",8,"N","Y","","FACU","S5","G5","Rich mesic hardwood forests. Often growing with a diverse and thick herbaceous layer. It often forms very large patches.","Forb/herb","Perennial"
2166,"Alopecurus aequalis var. aequalis","short-awned foxtail","Poaceae","Alopecurus","aequalis","var. aequalis","Y",7,"N","Y","","OBL","S5","G5","Marshes, swamps, and occasionally wet roadsides. Somewhat local with populations often small.","Graminoid","Perennial"
49,"Amaranthus hybridus ssp. hybridus","green amaranth","Amaranthaceae","Amaranthus","hybridus","ssp. hybridus","Y",0,"N","Y","","","SNR","G5?","A very common weed in agricultural fields.  Also in waste places.","Forb/herb","Annual"
6328,"Amaranthus retroflexus","red-rooted amaranth","Amaranthaceae","Amaranthus","retroflexus","","Y",0,"N","Y","","FACU","S5","","Agricultural fields and waste places.","Herbaceous","Annual"
3029,"Amauropelta noveboracensis","New York fern","Thelypteridaceae","Amauropelta","noveboracensis","","Y",4,"N","Y","","FAC","S5","G5","Mesic to dry-mesic forests and forest edges. Forming extensive dense populations along with Dennstaedtia punctilobula in sterile soils.","Fern","Perennial"
184,"Ambrosia artemisiifolia","common ragweed","Asteraceae","Ambrosia","artemisiifolia","","Y",0,"N","Y","","FACU","S5","G5","A very weedy native species. Cultivated ground, roadsides, waste places, barnyards, thin dry exposed soils of rocky or forest opening, seasonally exposed cobble bars in streams.  Along roads this plant can be quite thick, although dwarfed, and grows very close to edge of the tarmac.  In native habitats it usually does not get as tall and robust as in cultivated ground. ","Forb/herb","Annual"
7071,"Ambrosia trifida","giant ragweed","Asteraceae","Ambrosia","trifida","","Y",3,"N","Y","","FAC","S4","","Successional fields, waste places, and floodplains including floodplain forests.  In New York this species is not as weedy as A. artemisiifolia.","Herbaceous","Annual"
2809,"Amelanchier alnifolia","low shadbush","Rosaceae","Amelanchier","alnifolia","","Y",7,"N","Y","","FACU","S4","G5","Bluffs, tops of cliffs and rock outcrops, ledges, rocky summits, openings in forests, and less commonly in adjacent forested slopes in thin dry to dry-mesic calcareous soils.","Shrub","Perennial"
2798,"Amelanchier arborea","downy shadbush","Rosaceae","Amelanchier","arborea","","Y",4,"N","Y","","FACU","S5","G5","A wide variety of hardwood forests, forest edges, hedge rows, bluffs, ledges, roadsides, and occasionally hummocks in swamps.","Tree, Shrub","Perennial"
2803,"Amelanchier laevis","smooth shadbush","Rosaceae","Amelanchier","laevis","","Y",4,"N","Y","","","S5","G4G5Q","Forests, forest edges, openings in forests, thickets, bluffs, rock outcrops, ledges, hummocks in swamps, and roadsides.","Tree, Shrub","Perennial"
2807,"Amelanchier sanguinea","round-leaved shadbush","Rosaceae","Amelanchier","sanguinea","","Y",7,"N","Y","","","S5","G5","Bluffs, tops of cliffs and rock outcrops, ledges, and roadsides in thin dry to dry-mesic often rocky soils.","Tree, Shrub","Perennial"
6541,"Amphicarpaea bracteata","hog peanut","Fabaceae","Amphicarpaea","bracteata","","Y",5,"N","Y","","FAC","S5","","Mesic hardwood forests and forested thickets. Sometimes occurs in wet-mesic soils but usually more of a mesic soil species.","Vine","Perennial"
187,"Anaphalis margaritacea","pearly everlasting","Asteraceae","Anaphalis","margaritacea","","Y",2,"N","Y","","FACU","S5","G5","Much more common in northern parts of the state.  Cut forests, edges of forests, roadsides, and successional old fields often in thin sterile soils.","Forb/herb","Perennial"
558,"Anchistea virginica","Virginia chain fern","Blechnaceae","Anchistea","virginica","","Y",9,"N","Y","","OBL","S5","G5","Acid bogs, swamps, edges of ponds, and wet thickets. In at least parts of NY this species is very limited in distribution. Where it occurs it can form large stands.","Fern","Perennial"
1330,"Andromeda polifolia var. latifolia","bog rosemary","Ericaceae","Andromeda","polifolia","var. latifolia","Y",10,"N","Y","","OBL","S5","G5T5","Acidic bogs. Often growing mixed with other shrubs and forming a dense low shrub thicket in bogs. Also growing on hummocks or rises in bogs in small shrub ""islands"".","Shrub","Perennial"
2321,"Andropogon gerardi","big bluestem","Poaceae","Andropogon","gerardi","","Y",8,"N","Y","","FACU","S5","G5","Ice and river scour shores of medium to large sized rivers, dry open habitats including rocky summits, open hillsides in woodlands and forests, bluffs, sandy fields, and roadsides. It is sometimes planted on roadsides.","Graminoid","Perennial"
2577,"Anemone canadensis","Canada anemone","Ranunculaceae","Anemone","canadensis","","Y",5,"N","Y","","FACW","S5","G5","Low forests and thickets, edges of lakes and streams, and fens. Predominately in mesic to wet calcareous soils but occasionally in drier situations.","Forb/herb","Perennial"
2569,"Anemone cylindrica","long-headed anemone","Ranunculaceae","Anemone","cylindrica","","Y",7,"N","Y","","","S5","G5","","Forb/herb","Perennial"
2580,"Anemone quinquefolia var. quinquefolia","wood anemone","Ranunculaceae","Anemone","quinquefolia","var. quinquefolia","Y",7,"N","Y","","FACU","S5","G5","Mesic thickets, forests, forest edges, and edges of streams often in valley bottoms.","Forb/herb","Perennial"
2582,"Anemone virginiana","tall anemone, thimbleweed","Ranunculaceae","Anemone","virginiana","","Y",5,"N","Y","","FACU","S5","G5T5","Thickets, vegetated roadsides, dry-mesic forests and woodlands, openings in forests, and stream sides in dry to mesic soils.","Forb/herb","Perennial"
107,"Angelica atropurpurea","purple-stemmed angelica","Apiaceae","Angelica","atropurpurea","","Y",4,"N","Y","","OBL","S5","G5","Banks of streams and rivers, marshes, and open swamps.  This species prefers rich sites and often occurs near or adjacent to streams.","Forb/herb","Perennial"
6947,"Antennaria howellii ssp. canadensis","Canada pussytoes","Asteraceae","Antennaria","howellii","ssp. canadensis","Y",2,"N","Y","","","SNR","","Openings in forests, woodlands, edges of forests, dry roadsides, successional fields, pastures, and dry river banks.","Herbaceous","Perennial"
6948,"Antennaria howellii ssp. neodioica","small pussytoes","Asteraceae","Antennaria","howellii","ssp. neodioica","Y",2,"N","Y","","","SNR","","Open forests and woodlands, ledges, fine shale talus slopes, gravelly roadsides, and fields over thin soils.","Herbaceous","Perennial"
7181,"Antennaria howellii ssp. petaloidea","petal-like pussytoes","Asteraceae","Antennaria","howellii","ssp. petaloidea","Y",2,"N","Y","","","S5","","Open forests and woodlands, ledges, fine shale talus slopes, gravelly roadsides, and fields over thin soils.","Herbaceous Dicot","Perennial"
188,"Antennaria neglecta","field pussytoes","Asteraceae","Antennaria","neglecta","","Y",2,"N","Y","","UPL","S5","G5","Banks of dirt roads, edges of forests, and open forests on thin soils.","Forb/herb","Perennial"
6949,"Antennaria parlinii ssp. fallax","deceitful pussytoes","Asteraceae","Antennaria","parlinii","ssp. fallax","Y",3,"N","Y","","","SNR","","Gravel roadsides, fields on thin soils.","Herbaceous","Perennial"
6950,"Antennaria parlinii ssp. parlinii","Parlin’s pussytoes","Asteraceae","Antennaria","parlinii","ssp. parlinii","Y",3,"N","Y","","","SNR","","Open mesic forested slopes with herbaceous vegetation low.","Herbaceous","Perennial"
201,"Antennaria plantaginifolia","plantain-leaved pussytoes","Asteraceae","Antennaria","plantaginifolia","","Y",4,"N","Y","","","S5","G5","Thin or open deciduous forests, edges of forests, woodlands, rocky summits, road banks, and successional fields.  In mesic to dry soils that are thin or where the herbaceous vegetation is not tall or dense.","Herbaceous","Perennial"
2047,"Aphyllon uniflorum","one-flowered broomrape","Orobanchaceae","Aphyllon","uniflorum","","Y",4,"N","Y","","UPL","S4","G5","Mesic forests and fields. Parasitic on various plants. Somewhat local in distribution and populations are often small.","Forb/herb","Annual"
1398,"Apios americana","groundnut","Fabaceae","Apios","americana","","Y",5,"N","Y","","FACW","S5","G5","Floodplain forests, thickets, stream and ditch edges, and edges of marshes. Often in open sites with soils that are at least seasonally wet-mesic but dry out later in the season.","Vine, Forb/herb","Perennial"
123,"Apocynum androsaemifolium","spreading dogbane","Apocynaceae","Apocynum","androsaemifolium","","Y",2,"N","Y","","UPL","S5","G5","Roadsides, fields, thickets, often in thin soils.","Forb/herb","Perennial"
119,"Apocynum androsaemifolium × A. cannabinum = A. ×floribundum","hybrid dogbane","Apocynaceae","Apocynum","androsaemifolium × A. cannabinum = A. ×floribundum","","Y",NA,"N","Y","","","SNA","GNA","","Forb/herb","Perennial"
122,"Apocynum cannabinum","Indian hemp","Apocynaceae","Apocynum","cannabinum","","Y",2,"N","Y","","FAC","S5","G5","Dry thin forests, rocky openings, fields, thickets, gravely stream banks, and roadsides. It is also occasionally found in marshes.","Forb/herb","Perennial"
2583,"Aquilegia canadensis","wild columbine, red columbine","Ranunculaceae","Aquilegia","canadensis","","Y",5,"N","Y","","FACU","S5","G5","Cliffs, ledges, talus slopes, on or adjacent to forested rock outcrops, and edges of paths and dirt roads through forests often associated with calcareous soils and/or bedrock","Forb/herb","Perennial"
6617,"Aralia hispida","bristly sarsaparilla","Araliaceae","Aralia","hispida","","Y",6,"N","Y","","","S4","","Open rocky summits and ridges, forest clearings, roadsides, and disturbed ground mostly on acidic soils and rocks.  This species appears to respond well to disturbances including fire and logging.","Subshrub","Perennial"
6616,"Aralia nudicaulis","wild sarsaparilla","Araliaceae","Aralia","nudicaulis","","Y",6,"N","Y","","FACU","S5","","A forest understory herbaceous plant it occurs in a wide variety of dry to mesic forest types although it usually is absent or sparse in our deepest and richest soils.","Herbaceous","Perennial"
6615,"Aralia racemosa","spikenard","Araliaceae","Aralia","racemosa","","Y",7,"N","Y","","FACU","S5","","Ravines, ledges, shaded roadsides, thickets, and forest clearings often but not restricted to rich sites.  It usually occurs as thinly scattered plants and appears to do well in slightly disturbed areas.  Ledges and partially shaded shale talus in ravines are preferred sites.","Subshrub","Perennial"
142,"Aralia spinosa","devil’s walking stick, Hercules’s club","Araliaceae","Aralia","spinosa","","Y",4,"N","Y","","FAC","S1","G5","Utility line cuts, disturbed areas, and young thin forests.  Fairly similar to the non-native A. elata and many reports and specimens of A. spinosa may actually be A. elata.","Tree, Shrub","Perennial"
1348,"Arctostaphylos uva-ursi","bearberry","Ericaceae","Arctostaphylos","uva-ursi","","Y",8,"N","Y","","UPL","S5","G5","Rocky summits, bluffs, sandy maritime areas, and fields and roadsides with thin sandy soils. Mostly a plant of acidic soils in open sites.","Subshrub, Shrub","Perennial"
137,"Arisaema dracontium","green dragon","Araceae","Arisaema","dracontium","","Y",7,"N","Y","","FACW","S4","G5","Floodplain forests and edges of marl ponds.","Forb/herb","Perennial"
140,"Arisaema stewardsonii","swamp Jack-in-the-pulpit","Araceae","Arisaema","stewardsonii","","Y",7,"N","Y","","FAC","S5","G5","Swamps.","Forb/herb","Perennial"
135,"Arisaema triphyllum","common Jack-in-the-pulpit","Araceae","Arisaema","triphyllum","","Y",5,"N","Y","","FAC","S5","G5","Primarily in mesic forests. This taxon does particularly well in deep rich soils but also occurs in less rich sites.","Forb/herb","Perennial"
2722,"Aronia melanocarpa","black chokeberry","Rosaceae","Aronia","melanocarpa","","Y",7,"N","Y","","FAC","S5","G5","Swamps, marshes, wet thickets, lakes edges, peatlands, rock outcrops, rocky summits, pine barrens, and sandy forests.","Tree, Shrub","Perennial"
2765,"Aronia prunifolia","purple chokeberry","Rosaceae","Aronia","prunifolia","","Y",7,"N","Y","","FACW","S4?","G4G5Q","","Tree, Shrub","Perennial"
6954,"Artemisia campestris ssp. caudata","sand wormwood","Asteraceae","Artemisia","campestris","ssp. caudata","Y",8,"N","Y","","UPL","S4?","","","Herbaceous","Biennial"
147,"Asarum canadense","wild ginger","Aristolochiaceae","Asarum","canadense","","Y",8,"N","Y","","UPL","S5","G5","Slopes and bases of slopes in rich mesic forests with deep or calcareous soils and occasionally somewhat drier forests over limestone.  ","Forb/herb","Perennial"
166,"Asclepias exaltata","forest milkweed","Apocynaceae","Asclepias","exaltata","","Y",6,"N","Y","","UPL","S4","G5","Mesic deciduous forests and edges of forested roads and paths.  Not evenly scattered throughout a site but usually restricted to a few distinct patches.","Forb/herb","Perennial"
165,"Asclepias incarnata ssp. incarnata","western swamp milkweed","Apocynaceae","Asclepias","incarnata","ssp. incarnata","Y",4,"N","Y","","OBL","S5","G5T5","Marshes, swamps, edges of ponds, wet depressions or drainages in fields, and stream banks.  Does best in non-forested wetlands although also occurs in forested situations.","Herbaceous","Perennial"
157,"Asclepias quadrifolia","four-leaved milkweed","Apocynaceae","Asclepias","quadrifolia","","Y",7,"N","Y","","","S5","G5","Forests to thin forests and woodlands of a southern affinity.  Mostly an understory herb that does not do well with intense herbaceous competition.  The herb layer may be rather full and diverse but not with dense tall plants. Does particularly well over calcareous rocks.","Forb/herb","Perennial"
153,"Asclepias syriaca","common milkweed","Apocynaceae","Asclepias","syriaca","","Y",0,"N","Y","","UPL","S5","G5","Successional fields, occasionally clearings in forests, roadsides, and disturbed ground.","Forb/herb","Perennial"
160,"Asclepias tuberosa","butterfly weed","Apocynaceae","Asclepias","tuberosa","","Y",2,"N","Y","","","S4","G5?T5?","Dry-mesic roadsides, edges of railroads, successional fields, meadows, and dry banks of streams.  Does particularly well over calcareous rock.","Herbaceous","Perennial"
6267,"Asplenium platyneuron","ebony spleenwort","Aspleniaceae","Asplenium","platyneuron","","Y",5,"N","Y","","FACU","S5","","Thin deciduous forests, rocky summits, thickets, sometimes on or near rock, and occasionally successional old fields. Mostly in dry-mesic to mesic soils and not occurring in the most acidic soils and perhaps more abundant in more mineral rich sites. This species appears to be increasing in New York.","Fern","Perennial"
172,"Asplenium rhizophyllum","walking fern","Aspleniaceae","Asplenium","rhizophyllum","","Y",10,"N","Y","","","S4S5","G5","Mesic cliffs, ledges, erratics, and less frequently on adjacent soils primarily on calcareous rocks.  Usually in forested and/or shaded sites.","Fern","Perennial"
175,"Asplenium trichomanes ssp. trichomanes","diploid maidenhair spleenwort","Aspleniaceae","Asplenium","trichomanes","ssp. trichomanes","Y",9,"N","Y","","UPL","S4?","G5","","Fern","Perennial"
1396,"Astragalus canadensis var. canadensis","Canada milk vetch","Fabaceae","Astragalus","canadensis","var. canadensis","Y",10,"N","Y","","FAC","S1","G5T5","","Forb/herb","Perennial"
1269,"Athyrium angustum","northern lady fern","Athyriaceae","Athyrium","angustum","","Y",5,"N","Y","","FAC","S5","G5T5","The more common of the two subspecies in New York. Hardwood or hardwood-coniferous forests, margins of streams, wet depressions in forests, and occasionally edges of forests. Primarily and understory herb that likes mesic to wet-mesic soils and usually does not occur in soils that are perennially saturated.","Fern","Perennial"
2934,"Aureolaria flava","smooth false foxglove","Orobanchaceae","Aureolaria","flava","","Y",7,"N","Y","","","S5","G5T5","Hardwood forests, woodlands, and forest edges with oaks often in thin dry to dry-mesic soils.","Forb/herb","Perennial"
2927,"Aureolaria pedicularia","fern-leaved false foxglove","Orobanchaceae","Aureolaria","pedicularia","","Y",8,"N","Y","","","S4","G5","Hardwood forests, woodlands, and forest edges with oaks often in thin dry to dry-mesic soils.","Forb/herb","Annual"
2930,"Aureolaria virginica","downy false foxglove","Orobanchaceae","Aureolaria","virginica","","Y",7,"N","Y","","","S5","G5","Hardwood forests, woodlands, and forest edges with oaks often in thin dry to dry-mesic soils.","Forb/herb","Perennial"
2380,"Avenella flexuosa","common hair grass","Poaceae","Avenella","flexuosa","","Y",8,"N","Y","","FACU","S5","G5","Dry to dry-mesic forests, woodlands, and open habitat including barrens with thin often rocky or gravelly acidic soils.","Graminoid","Perennial"
518,"Azolla cristata","mosquito fern","Salviniaceae","Azolla","cristata","","Y",2,"N","Y","","OBL","SNR","G5","Still or slow moving water of lakes, ponds, and streams. Sometimes becoming very abundant.","Fern","Annual"
6652,"Bartonia virginica","Virginia screwstem","Gentianaceae","Bartonia","virginica","","Y",7,"N","Y","","FACW","S4","","Swamps, edges of lakes, peatlands, and wet road sides in acidic and sometimes sandy soils.","Herbaceous","Annual"
531,"Betula alleghaniensis","yellow birch","Betulaceae","Betula","alleghaniensis","","Y",7,"N","Y","","FAC","S5","G5","Cool mesic forests and swamps. A widespread tree in NY it is dominant or co-dominant in some types of northern hardwood forests as well as cool swamps.","Tree","Perennial"
537,"Betula lenta","black birch","Betulaceae","Betula","lenta","","Y",6,"N","Y","","FACU","S5","G5","A tree of young forests, rocky slopes, and talus slopes in mesic to dry soils. It is most common in warmer parts of NY and is an early successional species in mesic forests.","Tree","Perennial"
551,"Betula populifolia","gray birch","Betulaceae","Betula","populifolia","","Y",4,"N","Y","","FAC","S5","G5","Woodlands, pine barrens, edges of forests, bluffs, successional fields, thickets, disturbed ground, and road sides on thin often rocky poor soils. Responds well to disturbance including fire.","Tree","Perennial"
326,"Bidens beckii","Beck’s water marigold","Asteraceae","Bidens","beckii","","Y",7,"N","Y","","OBL","S3","G4G5","Ponds and lakes.","Forb/herb","Perennial"
270,"Bidens bipinnata","Spanish needles","Asteraceae","Bidens","bipinnata","","Y",0,"N","Y","","FACU","S4","G5","","Forb/herb","Annual"
383,"Bidens cernua","nodding beggar ticks","Asteraceae","Bidens","cernua","","Y",4,"N","Y","","OBL","S5","G5","Marshes, wet ditches, banks of streams, edges of ponds, exposed mud in draw down zones of ponds and streams, and floating logs in ponds.","Forb/herb","Annual"
6965,"Bidens frondosa","devil’s beggar ticks","Asteraceae","Bidens","frondosa","","Y",2,"N","Y","","FACW","S5","","A wide variety of wetlands as well as disturbed areas.  Banks of streams, pond margins, marshes, roadside ditches, wet to mesic disturbed areas, and floodplains.  Along with B. connata one of our most common Bidens. ","Herbaceous","Annual"
268,"Bidens trichosperma","crowned beggar ticks","Asteraceae","Bidens","trichosperma","","Y",10,"N","Y","","OBL","S4","G5","","Forb/herb","Annual"
365,"Bidens tripartita ssp. comosa","straw-stemmed beggar ticks","Asteraceae","Bidens","tripartita","ssp. comosa","Y",4,"N","Y","","FACW","S5","G5","Low floodplains and other wetlands.","Forb/herb","Annual"
364,"Bidens vulgata","tall beggar ticks","Asteraceae","Bidens","vulgata","","Y",0,"N","Y","","FAC","S5","G5","Banks of streams and disturbed sites in mesic to drier soils.","Forb/herb","Annual"
1716,"Blephilia hirsuta","hairy wood mint","Lamiaceae","Blephilia","hirsuta","","Y",6,"N","Y","","FACU","S4","G5?","Alluvial forests and thickets on the edges of small or large streams. Fairly local in New York and appears to be decreasing.","Forb/herb","Perennial"
820,"Blitum capitatum ssp. capitatum","strawberry blight","Amaranthaceae","Blitum","capitatum","ssp. capitatum","Y",3,"N","Y","","","S4","G5","","Forb/herb","Annual"
3051,"Boehmeria cylindrica","false nettle","Urticaceae","Boehmeria","cylindrica","","Y",7,"N","Y","","OBL","S5","G5","Wet to seasonally wet areas in bottomland forests, low areas in swamps, marshy areas in forested streams, and marshes. Primarily but not restricted to shaded habitats with slightly inundated to wet soils (at least seasonally). Sometimes forming dense large populations.","Forb/herb","Perennial"
1094,"Bolboschoenus fluviatilis","river bulrush","Cyperaceae","Bolboschoenus","fluviatilis","","Y",4,"N","Y","","OBL","S5","","Marshes, openings in swamps, edges of ponds and streams, fresh tidal marshes, and inland salt marshes and ponds. Often in large extensive marshes and mostly not associated with saline or brackish water. Sometimes occurring in large stands but more frequently occurring as small patches. Patches are often comprised predominately of vegetative individuals with only a few or no reproductive culms present.","Graminoid","Perennial"
642,"Borodinia canadensis","sicklepod","Brassicaceae","Borodinia","canadensis","","Y",7,"N","Y","","","S5","G5","Forested banks of streams, thin forests and woodlands, and edges of forests.  In mesic to dry thin or well drained soils.","Forb/herb","Biennial"
